VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2015-12-01 00:00:07,2015-12-01 00:19:54,1,4.80,-74.006034851074219,40.735370635986328,1,N,-73.970291137695313,40.690067291259766,1,18,0.5,0.5,5,0,0.3,24.3
2,2015-12-01 00:00:07,2015-12-01 00:18:32,2,6.86,-73.984390258789063,40.754848480224609,1,N,-73.896873474121094,40.751216888427734,2,22,0.5,0.5,0,5.54,0.3,28.84
2,2015-12-01 00:00:07,2015-12-01 23:50:01,1,1.18,-73.978202819824219,40.757667541503906,1,N,-73.984939575195313,40.74786376953125,2,6.5,0.5,0.5,0,0,0.3,7.8
1,2015-12-01 00:00:08,2015-12-01 00:43:35,1,19.00,-73.782218933105469,40.644596099853516,2,N,-73.984146118164063,40.769950866699219,1,52,0,0.5,5.2,0,0.3,58
2,2015-12-01 00:00:09,2015-12-01 00:05:19,1,1.35,-73.987808227539062,40.755195617675781,1,N,-73.981781005859375,40.768428802490234,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2015-12-01 00:00:09,2015-12-01 00:02:22,5,.83,-74.001228332519531,40.751605987548828,1,N,-73.992431640625,40.758258819580078,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2015-12-01 00:00:09,2015-12-01 00:03:52,2,.93,-74.003059387207031,40.748981475830078,1,N,-73.991752624511719,40.756420135498047,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2015-12-01 00:00:09,2015-12-01 00:02:20,1,.68,-73.955001831054687,40.720348358154297,1,N,-73.955406188964844,40.726192474365234,2,4,0.5,0.5,0,0,0.3,5.3
1,2015-12-01 00:00:10,2015-12-01 00:06:43,1,1.20,-73.973190307617187,40.677906036376953,1,N,-73.985832214355469,40.665538787841797,1,7,0.5,0.5,1.65,0,0.3,9.95
2,2015-12-01 00:00:10,2015-12-01 00:07:04,3,1.78,-73.974777221679688,40.760238647460937,1,N,-73.991966247558594,40.743438720703125,1,7.5,0.5,0.5,1.5,0,0.3,10.3
2,2015-12-01 00:00:10,2015-12-01 00:06:48,2,.66,-73.959823608398438,40.703010559082031,1,N,-73.958030700683594,40.694561004638672,2,6,0.5,0.5,0,0,0.3,7.3
1,2015-12-01 00:00:11,2015-12-01 00:25:10,2,11.80,-73.776832580566406,40.645366668701172,1,N,-73.884513854980469,40.755962371826172,2,35.5,0.5,0.5,0,0,0.3,36.8
1,2015-12-01 00:00:11,2015-12-01 00:23:52,1,6.70,0,0,1,N,0,0,2,22.5,0.5,0.5,0,0,0.3,23.8
2,2015-12-01 00:00:11,2015-12-01 00:11:26,1,3.14,-73.989608764648437,40.760551452636719,1,N,-73.953079223632812,40.776031494140625,1,12,0.5,0.5,2.66,0,0.3,15.96
2,2015-12-01 00:00:11,2015-12-01 00:04:24,1,.89,-73.920646667480469,40.765060424804688,1,N,-73.921562194824219,40.757251739501953,1,5.5,0.5,0.5,1,0,0.3,7.8
2,2015-12-01 00:00:12,2015-12-01 00:17:21,1,10.44,-73.863563537597656,40.770065307617187,1,N,-73.964134216308594,40.756233215332031,2,29.5,0.5,0.5,0,5.54,0.3,36.34
1,2015-12-01 00:00:13,2015-12-01 00:24:38,2,6.50,-73.989593505859375,40.758926391601563,1,N,-73.980209350585938,40.676597595214844,1,22,0.5,0.5,4.65,0,0.3,27.95
2,2015-12-01 00:00:13,2015-12-01 00:05:40,1,.99,-73.996536254882813,40.726871490478516,1,N,-73.984817504882812,40.732250213623047,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2015-12-01 00:00:13,2015-12-01 00:11:37,2,3.21,-73.985450744628906,40.747108459472656,1,N,-73.948432922363281,40.770580291748047,2,11.5,0.5,0.5,0,0,0.3,12.8
2,2015-12-01 00:00:13,2015-12-01 00:15:42,1,4.68,-73.964820861816406,40.755516052246094,1,N,-73.914703369140625,40.7822265625,2,16.5,0.5,0.5,0,0,0.3,17.8
1,2015-12-01 00:00:14,2015-12-01 00:09:58,1,2.40,-73.993675231933594,40.752166748046875,1,N,-73.984214782714844,40.779838562011719,2,10,0.5,0.5,0,0,0.3,11.3
1,2015-12-01 00:00:14,2015-12-01 00:18:58,1,9.90,-73.8731689453125,40.774105072021484,1,N,-73.954818725585937,40.671897888183594,1,29,0.5,0.5,6.05,0,0.3,36.35
2,2015-12-01 00:00:14,2015-12-01 00:25:52,1,6.92,-73.993690490722656,40.751747131347656,1,N,-73.944053649902344,40.837017059326172,1,23.5,0.5,0.5,4.96,0,0.3,29.76
2,2015-12-01 00:00:15,2015-12-01 00:07:21,2,2.09,-73.995391845703125,40.763767242431641,1,N,-73.99664306640625,40.742794036865234,2,8.5,0.5,0.5,0,0,0.3,9.8
1,2015-12-01 00:00:16,2015-12-01 00:10:15,1,1.60,0,0,1,N,0,0,1,8.5,0.5,0.5,1.96,0,0.3,11.76
1,2015-12-01 00:00:16,2015-12-01 00:03:40,1,.60,-73.979545593261719,40.727443695068359,1,N,-73.987831115722656,40.723865509033203,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2015-12-01 00:00:17,2015-12-01 00:02:31,1,.90,-73.968589782714844,40.767234802246094,1,N,-73.959800720214844,40.779403686523437,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2015-12-01 00:00:17,2015-12-01 00:02:14,1,.40,-73.970161437988281,40.758811950683594,1,N,-73.97442626953125,40.752506256103516,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2015-12-01 00:00:18,2015-12-01 00:04:54,1,.80,-73.9747314453125,40.751216888427734,1,N,-73.989051818847656,40.756900787353516,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2015-12-01 00:00:18,2015-12-01 00:05:43,1,1.30,-73.989585876464844,40.739009857177734,1,N,-73.997810363769531,40.724201202392578,1,6.5,0.5,0.5,0.89,0,0.3,8.69
1,2015-12-01 00:00:18,2015-12-01 00:18:08,1,4.60,-74.011909484863281,40.707088470458984,1,N,-73.976921081542969,40.672534942626953,1,17,0.5,0.5,4.55,0,0.3,22.85
2,2015-12-01 00:00:19,2015-12-01 00:41:45,5,17.70,-73.796043395996094,40.644680023193359,2,N,-74.002578735351563,40.734909057617188,1,52,0,0.5,11.67,5.54,0.3,70.01
1,2015-12-01 00:00:20,2015-12-01 00:13:16,1,2.90,-73.994155883789063,40.751007080078125,1,N,-73.966796875,40.789089202880859,1,12,0.5,0.5,3.99,0,0.3,17.29
2,2015-12-01 00:00:20,2015-12-01 00:21:23,6,10.28,-73.873069763183594,40.774089813232422,1,N,-74.006088256835937,40.727138519287109,1,30.5,0.5,0.5,3.05,0,0.3,34.85
2,2015-12-01 00:00:20,2015-12-01 00:12:16,1,3.59,-73.760238647460937,40.720798492431641,1,N,-73.747871398925781,40.727821350097656,2,12.5,0.5,0.5,0,0,0.3,13.8
2,2015-12-01 00:00:21,2015-12-01 00:12:42,5,2.57,-74.011772155761719,40.704349517822266,1,N,-73.988037109375,40.732799530029297,1,11,0.5,0.5,1.23,0,0.3,13.53
2,2015-12-01 00:00:21,2015-12-01 00:28:49,1,20.48,-73.782241821289063,40.644405364990234,2,N,-73.98870849609375,40.744647979736328,1,52,0,0.5,11.67,5.54,0.3,70.01
1,2015-12-01 00:00:22,2015-12-01 00:25:32,1,5.30,-73.989990234375,40.749973297119141,1,N,-73.9176025390625,40.758247375488281,2,20,0.5,0.5,0,0,0.3,21.3
2,2015-12-01 00:00:22,2015-12-01 00:08:52,1,2.76,-74.011878967285156,40.707736968994141,1,N,-73.994491577148438,40.740673065185547,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2015-12-01 00:00:23,2015-12-01 00:05:47,4,.90,-73.9952392578125,40.7496337890625,1,N,-73.9862060546875,40.759124755859375,1,5.5,0.5,0.5,1.35,0,0.3,8.15
2,2015-12-01 00:00:23,2015-12-01 00:10:47,6,2.63,-73.982109069824219,40.758243560791016,1,N,-73.981170654296875,40.730720520019531,1,10.5,0.5,0.5,1.5,0,0.3,13.3
1,2015-12-01 00:00:25,2015-12-01 00:14:11,2,2.30,-73.971549987792969,40.757213592529297,1,N,-73.983421325683594,40.749954223632812,2,11,0.5,0.5,0,0,0.3,12.3
1,2015-12-01 00:00:25,2015-12-01 00:05:52,1,2.90,-73.992202758789063,40.763969421386719,1,N,-73.972221374511719,40.796474456787109,1,10,0.5,0.5,1,0,0.3,12.3
1,2015-12-01 00:00:25,2015-12-01 00:04:48,1,.70,-73.978683471679688,40.77752685546875,1,N,-73.974143981933594,40.783271789550781,1,5,0.5,0.5,0.7,0,0.3,7
2,2015-12-01 00:00:25,2015-12-01 00:16:22,3,5.07,-73.989349365234375,40.7406005859375,1,N,-73.946563720703125,40.722408294677734,2,17,0.5,0.5,0,0,0.3,18.3
2,2015-12-01 00:00:25,2015-12-01 00:17:34,2,3.93,-73.992523193359375,40.730743408203125,1,N,-73.942573547363281,40.711757659912109,1,15,0.5,0.5,3.26,0,0.3,19.56
2,2015-12-01 00:00:25,2015-12-01 00:19:48,1,4.44,-73.982460021972656,40.767623901367187,1,N,-73.9915771484375,40.724601745605469,1,16.5,0.5,0.5,2,0,0.3,19.8
1,2015-12-01 00:00:26,2015-12-01 00:17:13,1,3.90,-74.005111694335938,40.719757080078125,1,N,-73.958633422851563,40.690807342529297,1,15,0.5,0.5,4.05,0,0.3,20.35
1,2015-12-01 00:00:26,2015-12-01 00:21:23,1,11.20,-73.872978210449219,40.774150848388672,1,N,-73.989089965820313,40.756679534912109,1,32,0.5,0.5,7,5.54,0.3,45.84
1,2015-12-01 00:00:27,2015-12-01 00:14:50,1,3.90,-73.987091064453125,40.739227294921875,1,N,-73.949348449707031,40.781047821044922,1,14,0.5,0.5,1.5,0,0.3,16.8
1,2015-12-01 00:00:27,2015-12-01 00:07:15,1,2.70,-73.983627319335938,40.72174072265625,1,N,-73.977874755859375,40.746284484863281,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2015-12-01 00:00:27,2015-12-01 00:04:59,1,.60,-73.970596313476563,40.755916595458984,1,N,-73.973915100097656,40.761344909667969,2,5,0.5,0.5,0,0,0.3,6.3
1,2015-12-01 00:00:27,2015-12-01 00:10:08,1,2.60,-73.972793579101563,40.759975433349609,1,N,-74.001228332519531,40.733970642089844,1,10,0.5,0.5,2.25,0,0.3,13.55
1,2015-12-01 00:00:28,2015-12-01 00:10:15,1,2.30,-74.0135498046875,40.704383850097656,1,N,-74.006134033203125,40.727088928222656,1,9.5,0.5,0.5,2.7,0,0.3,13.5
1,2015-12-01 00:00:29,2015-12-01 00:09:46,1,1.60,-73.973861694335937,40.763744354248047,1,N,-73.956718444824219,40.772304534912109,1,8.5,0.5,0.5,1,0,0.3,10.8
2,2015-12-01 00:00:29,2015-12-01 00:17:42,1,9.82,-73.874946594238281,40.774040222167969,1,N,-73.985588073730469,40.727294921875,1,28,0.5,0.5,4,0,0.3,33.3
2,2015-12-01 00:00:30,2015-12-01 00:16:51,5,4.10,-73.974716186523438,40.753421783447266,1,N,-74.006881713867188,40.705120086669922,1,14.5,0.5,0.5,3.16,0,0.3,18.96
2,2015-12-01 00:00:30,2015-12-01 00:24:44,1,13.21,-73.87347412109375,40.774013519287109,1,N,-73.893867492675781,40.643405914306641,2,37,0.5,0.5,0,0,0.3,38.3
2,2015-12-01 00:00:30,2015-12-01 00:34:30,1,20.68,-73.789283752441406,40.647010803222656,2,N,-73.97955322265625,40.788738250732422,1,52,0,0.5,13,5.54,0.3,71.34
2,2015-12-01 00:00:30,2015-12-01 00:23:29,1,10.89,-73.874481201171875,40.773948669433594,1,N,-73.995590209960938,40.687389373779297,1,33,0.5,0.5,6.86,0,0.3,41.16
2,2015-12-01 00:00:30,2015-12-01 00:02:59,2,.75,-73.959701538085938,40.770984649658203,1,N,-73.967597961425781,40.767807006835938,1,4.5,0.5,0.5,1,0,0.3,6.8
1,2015-12-01 00:00:31,2015-12-01 00:21:10,2,10.90,-73.863487243652344,40.770027160644531,1,N,-73.972930908203125,40.756645202636719,2,31.5,0.5,0.5,0,5.54,0.3,38.34
1,2015-12-01 00:00:31,2015-12-01 00:09:00,2,1.90,-73.983421325683594,40.765323638916016,1,N,-73.973129272460938,40.748085021972656,2,8.5,0.5,0.5,0,0,0.3,9.8
2,2015-12-01 00:00:31,2015-12-01 00:15:08,1,9.29,-73.874717712402344,40.774116516113281,1,N,-73.963882446289063,40.763675689697266,1,26.5,0.5,0.5,3,5.54,0.3,36.34
1,2015-12-01 00:00:32,2015-12-01 00:09:28,1,3.90,-73.86334228515625,40.769931793212891,1,N,-73.920997619628906,40.764629364013672,2,13,0.5,0.5,0,0,0.3,14.3
2,2015-12-01 00:00:32,2015-12-01 00:20:44,1,7.71,-73.995269775390625,40.724964141845703,1,N,-73.888687133789062,40.75140380859375,1,25,0.5,0.5,7.89,0,0.3,34.19
2,2015-12-01 00:00:34,2015-12-01 00:10:06,5,2.84,-73.971145629882813,40.693233489990234,1,N,-73.957817077636719,40.717750549316406,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2015-12-01 00:00:34,2015-12-01 00:14:02,1,5.86,-73.874458312988281,40.774040222167969,1,N,-73.854156494140625,40.720680236816406,2,18,0.5,0.5,0,0,0.3,19.3
2,2015-12-01 00:00:34,2015-12-01 00:21:22,2,11.03,-73.874542236328125,40.774051666259766,1,N,-73.980720520019531,40.756919860839844,2,31.5,0.5,0.5,0,5.54,0.3,38.34
2,2015-12-01 00:00:35,2015-12-01 00:06:39,6,1.23,-73.975532531738281,40.786888122558594,1,N,-73.957496643066406,40.780323028564453,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2015-12-01 00:00:35,2015-12-01 00:07:30,1,2.53,-73.974319458007813,40.75048828125,1,N,-73.948440551757813,40.774753570556641,1,8.5,0.5,0.5,1,0,0.3,10.8
2,2015-12-01 00:00:35,2015-12-01 00:07:26,5,1.07,-73.984870910644531,40.753749847412109,1,N,-73.998908996582031,40.75360107421875,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2015-12-01 00:00:36,2015-12-01 00:06:35,2,1.41,-74.007438659667969,40.72650146484375,1,N,-74.011512756347656,40.714889526367188,1,7,0.5,0.5,1.66,0,0.3,9.96
2,2015-12-01 00:00:36,2015-12-01 00:26:43,6,16.34,-73.863327026367188,40.770000457763672,1,N,-73.962677001953125,40.660228729248047,1,45,0.5,0.5,9.26,0,0.3,55.56
2,2015-12-01 00:00:36,2015-12-01 00:16:30,3,8.69,-73.863479614257813,40.770149230957031,1,N,-73.976356506347656,40.749420166015625,2,25,0.5,0.5,0,5.54,0.3,31.84
1,2015-12-01 00:00:37,2015-12-01 00:06:50,2,1.00,-73.990203857421875,40.737014770507812,1,N,-74.004936218261719,40.743278503417969,1,6.5,0.5,0.5,1,0,0.3,8.8
1,2015-12-01 00:00:37,2015-12-01 00:17:40,1,8.60,-73.9832763671875,40.755817413330078,1,N,-73.937606811523438,40.843334197998047,1,25.5,0.5,0.5,5.35,0,0.3,32.15
1,2015-12-01 00:00:38,2015-12-01 00:05:46,1,.40,-73.998893737792969,40.732349395751953,1,N,-74.003768920898438,40.73638916015625,2,5,0.5,0.5,0,0,0.3,6.3
1,2015-12-01 00:00:38,2015-12-01 00:21:49,1,8.20,-74.002418518066406,40.728118896484375,1,N,-74.007888793945313,40.647357940673828,1,26,0.5,0.5,6.8,0,0.3,34.1
1,2015-12-01 00:00:40,2015-12-01 00:06:30,2,1.50,-73.98992919921875,40.738452911376953,1,N,-73.982376098632812,40.755569458007812,1,7,0.5,0.5,2.05,0,0.3,10.35
