VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,Total_amount,Payment_type,Trip_type 


2,2014-01-01 00:01:05,2014-01-01 00:05:16,N,1,-73.990493774414063,40.693748474121094,-73.998184204101563,40.686683654785156,1,1.09,5.5,0.5,0.5,0,0,,6.5,2,,,
1,2014-01-01 00:01:05,2014-01-01 00:14:43,N,1,-73.929336547851562,40.703571319580078,-73.957572937011719,40.729713439941406,2,3.30,13,0.5,0.5,0,0,,14,2,,,
1,2014-01-01 00:01:06,2014-01-01 00:15:05,Y,1,-73.935966491699219,40.814907073974609,-73.907676696777344,40.83563232421875,1,3.40,13,0.5,0.5,0,0,,14,1,,,
1,2014-01-01 00:01:09,2014-01-01 00:03:59,N,1,-73.981842041015625,40.66668701171875,-73.985321044921875,40.662525177001953,2,.30,4,0.5,0.5,0,0,,5,2,,,
1,2014-01-01 00:01:15,2014-01-01 00:12:42,N,1,-73.917121887207031,40.761375427246094,-73.867164611816406,40.76068115234375,1,4.10,14,0.5,0.5,0,0,,15,2,,,
2,2014-01-01 00:01:16,2014-01-01 00:07:05,N,1,-73.949501037597656,40.714015960693359,-73.947380065917969,40.710067749023438,1,.88,6,0.5,0.5,1.3,0,,8.3,1,,,
2,2014-01-01 00:01:18,2014-01-01 00:18:48,N,1,-73.987983703613281,40.690803527832031,-73.989402770996094,40.644035339355469,1,5.50,19,0.5,0.5,0,0,,20,2,,,
2,2014-01-01 00:01:19,2014-01-01 00:07:58,N,1,-73.946876525878906,40.711391448974609,-73.939369201660156,40.721336364746094,1,1.41,7,0.5,0.5,2.25,0,,10.25,1,,,
2,2014-01-01 00:01:23,2014-01-01 00:30:53,N,1,-73.893974304199219,40.746421813964844,-73.897079467773437,40.862186431884766,1,10.36,33.5,0.5,0.5,0,5.33,,39.83,2,,,
1,2014-01-01 00:01:24,2014-01-01 00:07:52,Y,1,-73.951370239257813,40.799617767333984,-73.941871643066406,40.819538116455078,1,1.70,6.5,0.5,0.5,0,0,,7.5,2,,,
2,2014-01-01 00:01:26,2014-01-01 00:02:10,N,1,-73.877586364746094,40.880477905273438,-73.922943115234375,40.817478179931641,1,.05,2.5,0.5,0.5,0,0,,3.5,2,,,
2,2014-01-01 00:01:36,2014-01-01 00:12:24,N,1,-73.953887939453125,40.806480407714844,-73.937545776367188,40.797660827636719,2,1.21,8,0.5,0.5,0,0,,9,2,,,
2,2014-01-01 00:01:38,2014-01-01 00:05:36,N,1,-73.901954650878906,40.746009826660156,-73.894905090332031,40.754310607910156,1,.83,5,0.5,0.5,0,0,,6,2,,,
2,2014-01-01 00:01:38,2014-01-01 00:29:23,N,1,-73.951789855957031,40.790267944335938,-73.826080322265625,40.782726287841797,5,11.66,35,0.5,0.5,8.17,5.33,,49.5,1,,,
2,2014-01-01 00:01:40,2014-01-01 00:06:25,N,1,-73.933639526367188,40.798526763916016,-73.9295654296875,40.818332672119141,1,2.10,8,0.5,0.5,0,0,,9,2,,,
2,2014-01-01 00:01:48,2014-01-01 00:11:48,N,1,-73.920539855957031,40.835391998291016,-73.895431518554688,40.848167419433594,1,2.31,10,0.5,0.5,0,0,,11,2,,,
2,2014-01-01 00:01:49,2014-01-01 00:07:01,N,1,-73.926284790039063,40.762458801269531,-73.876693725585937,40.748268127441406,1,.73,5,0.5,0.5,0,0,,6,2,,,
2,2014-01-01 00:01:50,2014-01-01 00:16:57,N,1,-73.979408264160156,40.669246673583984,-73.95098876953125,40.677814483642578,1,2.89,12.5,0.5,0.5,2.6,0,,16.1,1,,,
1,2014-01-01 00:01:51,2014-01-01 00:07:42,N,1,-73.960235595703125,40.717487335205078,-73.959625244140625,40.712348937988281,1,.50,5.5,0.5,0.5,0,0,,6.5,2,,,
2,2014-01-01 00:01:54,2014-01-01 00:06:16,N,1,-73.91644287109375,40.771659851074219,-73.909461975097656,40.770145416259766,1,.65,5,0.5,0.5,0,0,,6,2,,,
2,2014-01-01 00:01:56,2014-01-01 00:09:08,N,1,-73.971267700195313,40.680072784423828,-73.969795227050781,40.693027496337891,1,.00,6,0.5,0.5,0,0,,7,2,,,
2,2014-01-01 00:01:57,2014-01-01 00:12:11,N,1,-73.863960266113281,40.881881713867188,-73.895416259765625,40.851436614990234,5,3.71,13,0.5,0.5,0,0,,14,2,,,
1,2014-01-01 00:02:06,2014-01-01 00:04:48,N,1,-73.918075561523438,40.770298004150391,-73.925163269042969,40.773063659667969,1,.50,4,0.5,0.5,0,0,,5,2,,,
1,2014-01-01 00:02:06,2014-01-01 00:13:23,N,1,-73.893318176269531,40.747478485107422,-73.8543701171875,40.752960205078125,1,2.40,10,0.5,0.5,0,0,,11,2,,,
2,2014-01-01 00:02:09,2014-01-01 00:07:21,N,1,-73.957542419433594,40.729721069335938,-73.942710876464844,40.720573425292969,1,1.34,6.5,0.5,0.5,0,0,,7.5,2,,,
2,2014-01-01 00:02:09,2014-01-01 00:09:53,N,1,-73.989044189453125,40.688705444335938,-73.99090576171875,40.700443267822266,1,1.64,7.5,0.5,0.5,0,0,,8.5,2,,,
2,2014-01-01 00:02:10,2014-01-01 00:04:54,N,1,-73.951622009277344,40.714328765869141,-73.950469970703125,40.711063385009766,1,.47,4,0.5,0.5,0,0,,5,2,,,
2,2014-01-01 00:02:11,2014-01-01 00:06:53,N,1,-73.9578857421875,40.7177734375,-73.957206726074219,40.727458953857422,1,.89,5.5,0.5,0.5,1.5,0,,8,1,,,
2,2014-01-01 00:02:13,2014-01-01 00:16:27,N,1,-73.995246887207031,40.700649261474609,-74.038711547851562,40.623020172119141,1,7.99,23.5,0.5,0.5,0,0,,24.5,2,,,
2,2014-01-01 00:02:29,2014-01-01 00:23:41,N,1,-73.966537475585937,40.715263366699219,-73.95025634765625,40.6572265625,5,5.12,18.5,0.5,0.5,5.7,0,,25.2,1,,,
1,2014-01-01 00:02:38,2014-01-01 00:11:52,N,1,-73.926895141601563,40.756221771240234,-73.969940185546875,40.763172149658203,1,2.70,10.5,0.5,0.5,0,0,,11.5,2,,,
1,2014-01-01 00:02:39,2014-01-01 00:06:04,N,1,-73.952598571777344,40.726860046386719,-73.945587158203125,40.725471496582031,1,.90,5,0.5,0.5,1.2,0,,7.2,1,,,
2,2014-01-01 00:02:40,2014-01-01 00:07:29,N,1,-73.807792663574219,40.700759887695313,-73.819198608398438,40.698646545410156,1,1.08,5.5,0.5,0.5,0,0,,6.5,2,,,
2,2014-01-01 00:02:47,2014-01-01 00:07:26,N,1,-73.918045043945313,40.770347595214844,-73.929092407226563,40.775936126708984,1,.84,5.5,0.5,0.5,0,0,,6.5,2,,,
2,2014-01-01 00:02:50,2014-01-01 00:05:51,N,1,-73.925216674804687,40.761760711669922,-73.917320251464844,40.758136749267578,2,.51,4,0.5,0.5,0,0,,5,2,,,
2,2014-01-01 00:02:52,2014-01-01 00:15:46,N,1,-73.829856872558594,40.759735107421875,-73.923759460449219,40.761226654052734,1,6.47,19.5,0.5,0.5,0,0,,20.5,2,,,
1,2014-01-01 00:02:58,2014-01-01 00:09:59,N,1,-73.999458312988281,40.673908233642578,-73.991058349609375,40.699695587158203,2,2.50,10,0.5,0.5,0,0,,11,2,,,
1,2014-01-01 00:02:59,2014-01-01 00:23:47,N,1,-73.921714782714844,40.745277404785156,-74.00372314453125,40.645668029785156,1,10.90,31.5,0.5,0.5,0,0,,32.5,2,,,
2,2014-01-01 00:03:03,2014-01-01 00:19:45,N,1,-73.925537109375,40.76171875,-73.88201904296875,40.744220733642578,1,3.18,13.5,0.5,0.5,0,0,,14.5,1,,,
2,2014-01-01 00:03:04,2014-01-01 00:18:08,N,1,-73.957466125488281,40.718101501464844,-73.928901672363281,40.704601287841797,1,2.49,12,0.5,0.5,0,0,,13,2,,,
2,2014-01-01 00:03:06,2014-01-01 00:14:22,N,1,-73.899177551269531,40.871601104736328,-73.878868103027344,40.883045196533203,1,2.14,10,0.5,0.5,0,0,,11,2,,,
1,2014-01-01 00:03:09,2014-01-01 00:03:30,N,1,-73.88092041015625,40.741802215576172,-73.88092041015625,40.741798400878906,1,4.90,2.5,0.5,0.5,0,0,,3.5,2,,,
2,2014-01-01 00:03:10,2014-01-01 00:10:17,N,1,-73.957664489746094,40.722183227539062,-73.966423034667969,40.7076416015625,1,1.17,6.5,0.5,0.5,0,0,,7.5,2,,,
1,2014-01-01 00:03:16,2014-01-01 00:13:14,N,1,-73.951637268066406,40.713832855224609,-73.957687377929688,40.732048034667969,1,1.80,9,0.5,0.5,0,0,,10,2,,,
1,2014-01-01 00:03:16,2014-01-01 00:10:26,N,5,-73.833686828613281,40.674179077148438,-73.849967956542969,40.684356689453125,1,1.50,10,0,0,0,0,,10,2,,,
2,2014-01-01 00:03:17,2014-01-01 00:08:13,N,1,-73.886917114257813,40.827320098876953,-73.888099670410156,40.839866638183594,1,1.18,5.5,0.5,0.5,0,0,,6.5,2,,,
1,2014-01-01 00:03:21,2014-01-01 00:23:03,N,1,-73.95526123046875,40.720081329345703,-73.972129821777344,40.672416687011719,1,5.60,20,0.5,0.5,0,0,,21,2,,,
2,2014-01-01 00:03:27,2014-01-01 00:13:14,N,1,-73.903633117675781,40.744983673095703,-73.912284851074219,40.760471343994141,5,1.43,8.5,0.5,0.5,0,0,,9.5,2,,,
2,2014-01-01 00:03:33,2014-01-01 00:07:56,N,1,-73.941184997558594,40.806060791015625,-73.94805908203125,40.804691314697266,1,.76,5,0.5,0.5,0,0,,6,2,,,
2,2014-01-01 00:03:35,2014-01-01 00:11:28,N,1,-73.954330444335937,40.821395874023438,-73.968414306640625,40.798290252685547,1,1.81,8.5,0.5,0.5,0,0,,9.5,2,,,
2,2014-01-01 00:03:35,2014-01-01 00:14:56,N,1,-73.916282653808594,40.819473266601563,-73.896484375,40.822433471679688,1,1.57,9.5,0.5,0.5,0,0,,10.5,2,,,
2,2014-01-01 00:03:35,2014-01-01 00:27:28,N,1,-73.930999755859375,40.848106384277344,-73.973777770996094,40.789775848388672,1,6.38,23.5,0.5,0.5,1,0,,25.5,1,,,
2,2014-01-01 00:03:40,2014-01-01 00:15:17,N,1,-73.93975830078125,40.841350555419922,-73.965347290039063,40.805866241455078,1,2.82,12,0.5,0.5,0,0,,13,2,,,
2,2014-01-01 00:03:43,2014-01-01 00:11:39,N,1,-73.957870483398438,40.721824645996094,-73.943550109863281,40.70892333984375,2,1.47,7.5,0.5,0.5,0,0,,8.5,2,,,
1,2014-01-01 00:03:45,2014-01-01 00:14:49,N,1,-73.844261169433594,40.721382141113281,-73.864791870117188,40.736549377441406,1,1.70,10,0.5,0.5,0,0,,11,2,,,
2,2014-01-01 00:03:46,2014-01-01 00:10:33,N,1,-73.947906494140625,40.68035888671875,-73.95501708984375,40.694656372070313,5,1.31,7,0.5,0.5,1.5,0,,9.5,1,,,
1,2014-01-01 00:03:46,2014-01-01 00:18:54,N,1,-73.940834045410156,40.720634460449219,-74.006370544433594,40.718944549560547,1,4.30,16.5,0.5,0.5,3.5,0,,21,1,,,
2,2014-01-01 00:03:54,2014-01-01 00:06:14,N,1,-73.946830749511719,40.78839111328125,-73.936813354492188,40.802211761474609,1,1.08,5,0.5,0.5,0,0,,6,2,,,
2,2014-01-01 00:04:05,2014-01-01 00:13:21,N,1,-73.93524169921875,40.796276092529297,-73.936882019042969,40.842296600341797,1,4.23,13.5,0.5,0.5,0,0,,14.5,2,,,
1,2014-01-01 00:04:05,2014-01-01 00:05:04,N,1,-73.982749938964844,40.692184448242188,-73.981300354003906,40.689266204833984,1,.20,3,0.5,0.5,0,0,,4,3,,,
2,2014-01-01 00:04:08,2014-01-01 00:18:53,N,1,-73.880851745605469,40.741786956787109,-73.807838439941406,40.679466247558594,1,7.51,23,0.5,0.5,0,0,,24,2,,,
2,2014-01-01 00:04:11,2014-01-01 00:11:25,N,1,-73.936676025390625,40.830070495605469,-73.940589904785156,40.814884185791016,1,1.33,6.5,0.5,0.5,0,0,,7.5,2,,,
2,2014-01-01 00:04:17,2014-01-01 00:14:48,N,1,-73.919090270996094,40.765865325927734,-73.952728271484375,40.746768951416016,5,3.13,12,0.5,0.5,0,0,,13,2,,,
2,2014-01-01 00:04:19,2014-01-01 00:05:02,N,1,-73.895553588867187,40.746364593505859,-73.893890380859375,40.746543884277344,4,.05,2.5,0.5,0.5,0,0,,3.5,2,,,
2,2014-01-01 00:04:19,2014-01-01 00:35:06,N,1,-73.942047119140625,40.754280090332031,-73.913520812988281,40.678218841552734,1,6.53,25,0.5,0.5,0,0,,26,2,,,
